name,carbs,fats,proteins
BABYFOOD.APPLE-CRANBERRY JUC,11.49,0.02,0
BABYFOOD.APPLS W/HAM.STR,10.9,0.9,2.6
BABYFOOD.APPLS.DICES.TODD,12.1,0.1,0.2
BABYFOOD.BABY MUM MUM RICE BISCUITS,83.21,0.87,12.5
BABYFOOD.BANANA APPL DSSRT.STR,16.3,0.2,0.3
BABYFOOD.BANANA JUC W/LOFAT YOGURT,17.54,0.8,2.5
BABYFOOD.BANANA NO TAPIOCA.STR,21.34,0.2,1
BABYFOOD.BKD PRODUCT.FINGER SNACKS CRL FORT,76.68,9.9,6.4
BABYFOOD.CARROTS&BF.STR,5.7,2.5,3.4
BABYFOOD.CARROTS.TODDLER,5.23,0.3,0.6
BABYFOOD.CHERRY COBBLER.JR,19.2,0.1,0.3
BABYFOOD.COOKIE.BABY.FRUIT,73.7,12.6,6.8
BABYFOOD.COOKIES,67.1,13.2,11.8
BABYFOOD.COOKIES.ARROWROOT,75.4,10,7.6
BABYFOOD.CORN & SWT POTATOES.STR,15.23,0.28,1.26
BABYFOOD.CRACKERS.VEG,66.85,19.6,8.4
BABYFOOD.CRL.BARLEY.DRY FORT,69.4,6.6,13.2
BABYFOOD.CRL.BARLEY.PREP W/WHL MILK,9.94,3.26,3.73
BABYFOOD.CRL.BROWN RICE.DRY.INST,85.98,3,8.7
BABYFOOD.CRL.EGG YOLKS&BACON.JR,6.2,5,2.5
BABYFOOD.CRL.HI PROT.PREP W/WHL MILK,11.6,3.8,8.7
BABYFOOD.CRL.HI PROT.W/APPL&ORANGE.DRY,57.6,6.5,25.4
BABYFOOD.CRL.HI PROT.W/APPL&ORANGE.PREP W/WHL MILK,13.4,3.9,6.9
BABYFOOD.CRL.MXD.DRY FORT,78.21,6.66,6.66
BABYFOOD.CRL.MXD.PREP W/WHL MILK,12.3,3.38,4.14
BABYFOOD.CRL.MXD.W/ APPLSAUC & BANANAS.JR.FORT,18.79,0.51,0.71
BABYFOOD.CRL.MXD.W/ APPLSAUC & BANANAS.STR,18.38,0.51,0.71
BABYFOOD.CRL.MXD.W/ BANANAS.DRY,77.1,4.6,10.7
BABYFOOD.CRL.MXD.W/BANANAS.PREP W/WHL MILK,10,3.46,3.82
BABYFOOD.CRL.MXD.W/HONEY.PREP W/WHL MILK,15.9,3.6,5
BABYFOOD.CRL.OATMEAL.DRY FORT,73.48,6.36,10.99
BABYFOOD.CRL.OATMEAL.PREP W/WHL MILK,15.3,4.1,5
BABYFOOD.CRL.OATMEAL.W/ APPLSAUC & BANANAS.JR.FORT,16.03,0.89,0.89
BABYFOOD.CRL.OATMEAL.W/ APPLSAUC & BANANAS.STR,15.62,0.89,0.89
BABYFOOD.CRL.OATMEAL.W/ BANANAS.DRY,78.07,6.67,6.67
BABYFOOD.CRL.OATMEAL.W/BANANAS.PREP W/WHL MILK,10,3.46,3.82
BABYFOOD.CRL.OATMEAL.W/HONEY.DRY,69.3,7,13.5
BABYFOOD.CRL.OATMEAL.W/HONEY.PREP W/WHL MILK,15.3,3.9,5
BABYFOOD.CRL.RICE W/ PEARS & APPL.DRY.INST FORT,88.5,0.9,6.6
BABYFOOD.CRL.RICE.DRY.FORT,83.14,2.19,6.65
BABYFOOD.CRL.RICE.PREP W/WHL MILK,10.31,3.38,3.45
BABYFOOD.CRL.RICE.W/ APPLSAUC & BANANAS.STR,17.1,0.4,1.2
BABYFOOD.CRL.RICE.W/ BANANAS.DRY,79.9,4.2,8.7
BABYFOOD.CRL.RICE.W/BANANAS.PREP W/WHL MILK,10.49,3.32,3.57
BABYFOOD.CRL.RICE.W/HONEY.PREP W/WHL MILK,17.1,3.3,3.9
BABYFOOD.CRL.W/EGG YOLKS.JR,7.1,1.8,1.9
BABYFOOD.CRL.W/EGG YOLKS.STR,7,1.8,1.9
BABYFOOD.CRL.W/EGGS.STR,8,1.5,2.2
